Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iq),https://plants.usda.gov/home/plantProfile?symbol=ANCL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ir),https://plants.usda.gov/home/plantProfile?symbol=ANAR,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021is),https://plants.usda.gov/home/plantProfile?symbol=ANARF,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021it),https://plants.usda.gov/home/plantProfile?symbol=ANMO2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iu),https://plants.usda.gov/home/plantProfile?symbol=ANCO30,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iv),https://plants.usda.gov/home/plantProfile?symbol=ANAR16,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iw),https://plants.usda.gov/home/plantProfile?symbol=ANAZ,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ix),https://plants.usda.gov/home/plantProfile?symbol=ANCA29,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iy),https://plants.usda.gov/home/plantProfile?symbol=ANOF,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021iz),https://plants.usda.gov/home/plantProfile?symbol=ANEC,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021j),https://plants.usda.gov/home/plantProfile?symbol=ABIN3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ja),https://plants.usda.gov/home/plantProfile?symbol=ANBI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jb),https://plants.usda.gov/home/plantProfile?symbol=ANGL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jc),https://plants.usda.gov/home/plantProfile?symbol=ANGLG2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jd),https://plants.usda.gov/home/plantProfile?symbol=ANVI2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021je),https://plants.usda.gov/home/plantProfile?symbol=ANMA14,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jf),https://plants.usda.gov/home/plantProfile?symbol=ANBL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jg),https://plants.usda.gov/home/plantProfile?symbol=ANHU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jh),https://plants.usda.gov/home/plantProfile?symbol=ANHUJ,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ji),https://plants.usda.gov/home/plantProfile?symbol=ANNE4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jk),https://plants.usda.gov/home/plantProfile?symbol=ANGR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jl),https://plants.usda.gov/home/plantProfile?symbol=ANAN5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jm),https://plants.usda.gov/home/plantProfile?symbol=ANEV,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jn),https://plants.usda.gov/home/plantProfile?symbol=ANCA46,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jo),https://plants.usda.gov/home/plantProfile?symbol=ANCO6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jp),https://plants.usda.gov/home/plantProfile?symbol=ANAL11,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jq),https://plants.usda.gov/home/plantProfile?symbol=ANAR6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jr),https://plants.usda.gov/home/plantProfile?symbol=ANAU3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021js),https://plants.usda.gov/home/plantProfile?symbol=ANCO2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jt),https://plants.usda.gov/home/plantProfile?symbol=ANSE6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ju),https://plants.usda.gov/home/plantProfile?symbol=ANHE3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jv),https://plants.usda.gov/home/plantProfile?symbol=ANAR7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021jw),https://plants.usda.gov/home/plantProfile?symbol=ANOD,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
